epoch,link_id,link_flow
1,1,4.355962072453041
1,2,7.27705485984276
1,3,2.2750132820952533
1,4,1.950269928184196
1,5,3.605112128961482
1,6,3.599172182282849
1,7,5.880125411056736
1,8,5.529939411185203
1,9,5.409715378172196
1,10,5.308741834737796
1,11,3.882484818271405
1,12,1.4190362523373488
1,13,2.315759674862704
1,14,2.992982159875091
1,15,2.6829121331243626
1,16,1.3353202054981441
1,17,2.180012154511602
1,18,1.8220519355182532
1,19,1.130650910750731
1,20,1.4593155659434554
2,1,4.475961268511206
2,2,7.397054055898544
2,3,2.3332128921813053
2,4,2.008469538274564
2,5,3.6645117310062485
2,6,3.65857178433331
2,7,5.997724623187554
2,8,5.646956627225128
2,9,5.517906653332549
2,10,5.4210783621361225
2,11,3.9354985430999196
2,12,1.4720499771659796
2,13,2.3719279385618575
2,14,3.0491504235742655
2,15,2.719306129288099
2,16,1.3717142016806327
2,17,2.2164061506930453
2,18,1.8584459316821953
2,19,1.1670449069331967
2,20,1.495709562124854
3,1,4.59590676544979
3,2,7.516998548715534
3,3,2.391386498175925
3,4,2.0666430643103717
3,5,3.723884241666351
3,6,3.7179443215620287
3,7,6.115270739842276
3,8,5.763920955229297
3,9,5.626049080654894
3,10,5.533364117020124
3,11,3.9884883372884077
3,12,1.5250397617533886
3,13,2.4280708231535124
3,14,3.1052932938666116
3,15,2.755683296604775
3,16,1.4080919707332058
3,17,2.2527838931039397
3,18,1.8948231107138258
3,19,1.2034226689457985
3,20,1.5320872759603756
4,1,4.715795431781228
4,2,7.636884536974187
4,3,2.449532607960252
4,4,2.1247889608675385
4,5,3.783227770420952
4,6,3.777287921183494
4,7,6.2327603783812044
4,8,5.880828992442357
4,9,5.734139548110707
4,10,5.645595832744664
4,11,4.041452679136946
4,12,1.5780040780115474
4,13,2.484186700076272
4,14,3.1614091326683904
4,15,2.7920423232280656
4,16,1.4444526023259472
4,17,2.2891444536592056
4,18,1.9311821685931747
4,19,1.2397832817672816
4,20,1.5684477603194813
5,1,4.835624163522847
5,2,7.756708248454617
5,3,2.5076497426795967
5,4,2.182905695937566
5,5,3.842540441169507
5,6,3.836600724800564
5,7,6.350190183849105
5,8,5.997677363778754
5,9,5.842174969141176
5,10,5.757770269227604
5,11,4.094390059412059
5,12,1.6309414103462934
5,13,2.5402739540329144
5,14,3.2174963151946887
5,15,2.828381906439685
5,16,1.4807951944030662
5,17,2.325486912602223
5,18,1.96752181041856
5,19,1.2761258386652372
5,20,1.604790076457185
6,1,4.95538987996814
6,2,7.876465937312825
6,3,2.5657364346330933
6,4,2.2409917489360027
6,5,3.9018203909029188
6,6,3.8958808870367787
6,7,6.467556825536012
6,8,6.114462718483421
6,9,5.950152279493132
6,10,5.869884209744084
6,11,4.147298979789278
6,12,1.6838502541139906
6,13,2.5963309813770263
6,14,3.273553228367058
6,15,2.8647007521700796
6,16,1.5171188518175127
6,17,2.361810357178712
6,18,2.003840749909859
6,19,1.3124494398411377
6,20,1.6411132927300516
7,1,5.075089530462336
7,2,7.996153892330108
7,3,2.623791230501902
7,4,2.299045614046564
7,5,3.9610657738061987
7,6,3.9551265796006065
7,7,6.584857004308101
7,8,6.231181737506705
7,9,6.058068443963452
7,10,5.981934468006436
7,11,4.200177956151034
7,12,1.7367291189331495
7,13,2.6523561936426967
7,14,3.32957827436374
7,15,2.900997577840611
7,16,1.5534226883044557
7,17,2.398113883648664
7,18,2.040137712233588
7,19,1.3487531944140017
7,20,1.6774164866492995
8,1,5.194720089777768
8,2,8.115768433721275
8,3,2.6818126890500085
8,4,2.357065798034426
8,5,4.02027475969726
8,6,4.014335989686801
8,7,6.70208744874727
8,8,6.347831129740883
8,9,6.165920452847489
8,10,6.093917884551248
8,11,4.253025516839733
8,12,1.7895765269508055
8,13,2.7083480157281077
8,14,3.38556986882314
8,15,2.9372711117264263
8,16,1.5897058249995175
8,17,2.4343965958418967
8,18,2.0764114333491146
8,19,1.3850362189485135
8,20,1.7136987434763171
9,1,5.314273041849345
9,2,8.235300098969327
9,3,2.7397967078708265
9,4,2.415048142723038
9,5,4.079442649209504
9,6,4.07350444877013
9,7,6.819239357080332
9,8,6.464402110065937
9,9,6.2737002085139055
9,10,6.2058260256633
9,11,4.3058376918502
9,12,1.842388512493427
9,13,2.764302231840926
9,14,3.441523793822374
9,15,2.9735149040847806
9,16,1.6259674024256578
9,17,2.470657617180687
9,18,2.1126554885808746
9,19,1.4212976494513714
9,20,1.7499591682835545
10,1,5.433711397847819
10,2,8.354709380618862
10,3,2.797725386665057
10,4,2.472974669247326
10,5,4.1385498348090115
10,6,4.132612452003662
10,7,6.936275221474069
10,8,6.580857374558515
10,9,6.3813732037561435
10,10,6.3176230795761725
10,11,4.3585975429121895
10,12,1.8951481967688313
10,13,2.820200918609715
10,14,3.497422160966458
10,15,3.0096958136958527
10,16,1.6622065688010736
10,17,2.506896079024978
10,18,2.1488368537081413
10,19,1.4575366296894194
10,20,1.7861968743377297
11,1,5.553006258286024
11,2,8.473965229272352
11,3,2.855584746253497
11,4,2.5308313242839464
11,5,4.197580904177931
11,6,4.191644672801697
11,7,7.053165650431427
11,8,6.697167683842804
11,9,6.488912398396913
11,10,6.42928097648909
11,11,4.411291797075524
11,12,1.9478423533534512
11,13,2.876030027935733
11,14,3.553250948553358
11,15,3.045788199106625
11,16,1.6984224926104825
11,17,2.54311113329415
11,18,2.1849299823665502
11,19,1.4937523237764427
11,20,1.822410995763816
12,1,5.672131890038114
12,2,8.593039880735223
12,3,2.9133623425811623
12,4,2.588605590755807
12,5,4.256522073909935
12,6,4.250587408017936
12,7,7.169884416491096
12,8,6.813306942866185
12,9,6.59629366317181
12,10,6.540774665151536
12,11,4.463908609780987
12,12,2.0004591801273874
12,13,2.931777022308388
12,14,3.6089976428431494
12,15,3.08176931977097
12,16,1.7346143612074985
12,17,2.5793019511109057
12,18,2.2209122219566018
12,19,1.5299439147878435
12,20,1.858600686226091
13,1,5.791067108709774
13,2,8.711910333899446
13,3,2.971047936366242
13,4,2.646287159082239
13,5,4.315361923225954
13,6,4.309429307334497
13,7,7.2864098595921964
13,8,6.929253594825914
13,9,6.70349707082482
13,10,6.652083451032876
13,11,4.516438199118263
13,12,2.0529889302900615
13,13,2.9874315449760376
13,14,3.6646519060568394
13,15,3.1176206436862763
13,16,1.7707813791922489
13,17,2.615467721215775
13,18,2.2567651158213913
13,19,1.5661106031490453
13,20,1.8947651173764646
14,1,5.909791224044773
