epoch,total_loss,loss_cost,loss_risk,loss_discard,loss_surplus,loss_shortage
1,202325.97567846937,1037.1080951170904,116.95915514217944,169.9779370899331,0.0,201037.01823766282
2,201781.47100982818,1074.7678759838284,121.83713165260023,176.893161790953,0.0,200444.5239798966
3,201238.08797937058,1113.0744740488153,126.81364067713587,183.9473297034798,0.0,199852.2966271443
4,200695.84059559088,1152.0258560251882,131.8884014044726,191.1400394972958,0.0,199260.35281908527
5,200154.74263935286,1191.6199214751325,137.06112287973957,198.4708753295711,0.0,198668.70905653233
6,199614.8076817504,1231.8545025060798,142.33150397387462,205.93940681086494,0.0,198077.38171965172
7,199076.0490523826,1272.7273671399475,147.69923383302097,213.54518965198008,0.0,197486.38703190754
8,198538.47985921477,1314.2362189421244,153.16399183934902,221.28776561887514,0.0,196895.74108036622
9,198002.11280933494,1356.3787122892422,158.72544963509299,229.16666541095174,0.0,196305.45961689018
10,197466.96038293303,1399.1524406458602,164.38326959791118,237.18140651155522,0.0,195715.55824705708
11,196933.03465802546,1442.5549520752043,170.13710690624328,245.33149612482396,0.0,195126.05223499105
12,196400.3473380819,1486.5837492954688,175.98660957373278,253.6164312349921,0.0,194536.95653084983
13,195868.90978136446,1531.2362893899335,181.9314184340577,262.03569859566,0.0,193948.28580047502
14,195338.73283372397,1576.51000021742,187.97116935227666,270.588777872124,0.0,193360.05423708784
15,194809.82701187782,1622.4022675725591,194.10549154537452,279.2751392730773,0.0,192772.2757609504
16,194282.20234114022,1668.9104515543586,200.33400979456223,288.0942466935811,0.0,192184.9638360361
17,193755.86844371044,1716.031881694365,206.656343826819,297.04555684887464,0.0,191598.13156448843
18,193231.54359681168,1763.7638737890254,213.07211060565774,306.12852252694165,0.015760322721419983,191012.48496274903
19,192713.3523403094,1812.0648155204938,219.57568595574932,315.3350116732891,0.13142515586763429,190432.1181077907
20,192197.78059869132,1860.936427038591,226.16725409662035,324.66529986685714,0.26988081617120063,189853.59191310205
21,191688.20740560084,1910.3373211170688,232.8411824527678,334.11124555440836,0.4992720714111408,189280.270739141
22,191180.41062222826,1960.2724096411857,239.5980690615383,343.6737244531656,0.7275689508523903,188708.01827083997
23,190674.58644817158,2010.745622905797,246.43838661086846,353.3534304199613,0.9606532975875428,188137.01987092063
24,190178.60203016538,2061.71290391095,253.35610580396707,363.1416507237492,1.3664110472520636,187575.03179042065
25,189687.39330591488,2113.1315236605005,260.34534798790844,373.0298928681454,1.8259982539610058,187017.16414754075
26,189203.02069740105,2164.9596051229273,267.40032358940124,383.0097956066697,2.3793987089634583,186465.4916714499
27,188720.85097039957,2217.2101481216496,274.52269119580046,393.08377280960815,2.9273593966129505,185915.46380623465
28,188245.6480304125,2269.894561179468,281.713907150449,403.25394497061126,3.5789931472138914,185371.7207961099
29,187791.1582621713,2322.848768090252,288.95148535927433,413.4878087605983,4.614285900094453,184847.94135966885
30,187341.0338269837,2375.9701297988577,296.2212343633148,423.76486631264413,5.655693725915643,184328.28827309198
